count,SAB / CR,MFA,MAT,SALT,MAE,Course caps,Enrollment,wait listed,,Dept,Course,section,Combined AY 26-27,Professor First name,Professor Last name,,TERM,DAY,TIME,ROOM,NOTE / DATE,pull down ,DEAN NOTES,LAB FEE
1,,,,,,15,,,,FN,FN 110,1,4D: Space & Temporality,Tracey,Cockrell,,BFA SPRING,M TH,8:30-11:15,305-502,,,,
1,,,,,,15,,,,FN,FN 110,4,4D: Space & Temporality,Tracey,Cockrell,,BFA SPRING,TU FR,8:30-11:15,277-508,2/20,Prof changed,TC email,
0,,,,,,18,,,,FN,DR 235,,"Landscape: Map, Measure, Draw???",Tracey,Cockrell,,BFA SPRING,TU FR,8:30-11:15,103,,Prof changed,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,18,,,,IL,IL 104,1,Intro to Ink for Illustrators,Michael,Connor,,BFA FALL,TU FR,8:30-11:15,509,,,,
1,,,,,,18,,,,IL,IL 104,2,Intro to Ink for Illustrators,Michael,Connor,,BFA FALL,TU FR,12:00-2:45,509,,,,
1,,,,,,18,,,,IL,IL 240,1,Setting the Scene ,Michael,Connor,,BFA FALL,M TH,1:30-4:15,509,,,,
1,,,,,,18,,,,FN,DR 140,,Thinking with Drawing,Michael,Connor,,BFA SPRING,TU FR,8:30-11:15,103,2/26,Course Changed,TC  email,
1,,,,,,18,,,,IL,IL 110,2,Methods and Media in Illustration,Michael,Connor,,BFA SPRING,M TH,8:30-11:15,103,,,,
1,,,,,,18,,,,IL,IL 306,,Introduction to Comics,Michael,Connor,,BFA SPRING,TU FR,12:00-2:45,509,,,,
0,,,,,,18,,,,FN,DR 100,3,Introduction to Drawing,Michael,Connor,,BFA SPRING,M TH,1:30-4:15,102,2/26,Prof changed,TC email,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,14,,,,CE,CE 310,,(AE) From Clay to Commerce,Patrick,Coughlin,,BFA FALL,WED,9:00-2:45,511,,,,
1,,,,,,16,,,,CE,CE 311,,Glaze Chemistry & Kiln Firing,Patrick,Coughlin,,BFA FALL,TU FR,8:30-11:15,501-511,,,,
0.5,,,,,,12,,,,FN,FN 109,5CW,3D Materiality: Ceramics week 1-7,Patrick,Coughlin,,BFA FALL,TU FR,3:00-5:45,511,,,,
0.5,,,,,,-,,,,FN,FN 109,6CW,3D Materiality: Ceramics week 8-14,Patrick,Coughlin,,BFA FALL,TU FR,3:00-5:45,511,,,,
1,,,,,,16,,,,CE,CE 250,,Slip Casting and Press Molding,Patrick,Coughlin,,BFA SPRING,TU FR,12:00-2:45,511,,,,
0.5,,,,,,SR MAJOR,,,,CE,CE 402,,Ceramics IV: Major Studio,Patrick,Coughlin,,BFA SPRING,M TH,8:45-11:30,511,,,,
0.5,,,,,,JR MAJOR,,,,CE,CE 302,,Ceramics III: Major Studio,Patrick,Coughlin,,BFA SPRING,M TH,8:45-11:30,511,,,,
,1,,,,,,,,,,,,Program Chair Course Release,Patrick,Coughlin,,BFA SPRING,,,,,,,
0,,,,,,18,,,,SEM,SEM 452,1,Senior Synthesis,Patrick,Coughlin,,BFA SPRING,M TH,1:30-2:45,250,,Prof changed,,
0,,,,,,12,,,,FN,FN 109,1CT,3D Materiality: Ceramics. week 1-7,Patrick,Coughlin,,BFA SPRING,,,,2/20/26,,TC email,
0,,,,,,-,,,,FN,FN 109,2CT,3D Materiality: Ceramics. week 8-15,Patrick,Coughlin,,BFA SPRING,,,,2/20/26,,TC email,
,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,0,,,,AS,EN 100,1,English Composition,Pedro,Daher,,BFA FALL,X,X,X,,,,
0,,,,,,0,,,,AS,EN 100,2,English Composition,Pedro,Daher,,BFA FALL,X,X,X,,,,
1,,,,,,25,,,,AS,HU 323,2,(W) Creative Writing,Pedro,Daher,,BFA FALL,TU FR,4:30-5:45,104,,,,
1,,,,,,25,,,,AS,HU 374,,Slow Reading: The Joy of the Word & Mindful Concept-Making,Pedro,Daher,,BFA FALL,TU FR,3:00-4:15,104,Fast Track,,,
1,,,,,,25,,,,AS,HU 379,,Global Poetry,Pedro,Daher,,BFA FALL,TU FR,12:00-1:45,104,Fast Track,,,
x,,,,,,IS,,,,AS,HU 440,,(W) Writing Minor Capstone,Pedro,Daher,,BFA FALL,-,-,-,,Independent Study,,
1,,,,,,20,,,,AS,EN 100,1,English Composition,Pedro,Daher,,BFA SPRING,M TH,8:30-9:45,250,revised schedule,,,
1,,,,,,20,,,,AS,EN 100,2,English Composition,Pedro,Daher,,BFA SPRING,M TH,10:15-11:30,250,revised schedule,,,
x,,,,,,IS,,,,AS,HU 440,,(W) Writing Minor Capstone,Pedro,Daher,,BFA SPRING,-,-,-,,Independent Study,,
1,,,,,,25,,,,AS,PL 228,,Anti-hegemonic Thought: Literature and Philosophy,Pedro,Daher,,BFA SPRING,WED,8:45-11:30,250,fast track,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,20,,,,AS,HU 370,,(W) Writing Past Catharsis: Micro-Memoir,Alana,Dao,,BFA SPRING,TU FR,12:00-1:15,104,3/9/26,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,20,,,,AS,NS 301 ,,(PE) (S) Natural History-Coastal Ecosystems,Deb,Debiegun,,BFA FALL,WED,8:45-11:30,208,,,,
1,,,,,,20,,,,AS,NS 304,,(PE) (S) Living Sustainably,Deb,Debiegun,,BFA SPRING,WED,8:30-11:15,208,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,18,,,,IL,IL 107,1,Portrait Drawing in Illustration: People and Animals,Andrew ,DeGraff,,BFA FALL,M TH,1:30-4:15,103,,,,
1,,,,,,junior,,,,IL,IL 321,2,Illustration Majors Studio,Andrew ,DeGraff,,BFA FALL,M TH,8:45-11:30,315,,,,
1,,,,,,18,,,,IL,IL 110,1,Methods and Media in Illustration,Andrew ,DeGraff,,BFA SPRING,M TH,1:30-4:15,103,,,,
1,,,,,,JR MAJOR,,,,IL,IL 322,1,Illustration Majors Studio,Andrew ,DeGraff,,BFA SPRING,M TH,8:45-11:30,315,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,AG,AG 100 ,2,Special Topics: Intro to Game Development,Adam,deGrandis,,BFA FALL,,,,,Course is cut,,
0,,,,,,,,,,AG,AG 329,,Special Topics: Shaders & VFX ,Adam,deGrandis,,BFA SPRING,,,,,Course is cut,,
1,,,,,,18,,,,AG,AG 100 ,1,Intro to Game Development,Adam,deGrandis,,BFA FALL,M TH,1:30-4:15,289,3/6,,,
