COUNT,SAB / CR,MFA,MAT,SALT,MAE,Course caps,Enrollment,wait listed,,Dept,Course,section,Spring 2027,Professor First name,Professor Last name,JZ,TERM,DAY,TIME,ROOM,NOTE / DATE,Drop Down,DEAN NOTES,LAB FEE
1,,,,,,15,,,,FN,FN 110,1,4D: Space & Temporality,Tracey,Cockrell,,BFA SPRING,M TH,8:30-11:15,305-502,,,,
1,,,,,,15,,,,FN,FN 110,2,4D: Space & Temporality,Joshua,Reiman,,BFA SPRING,TU FR,8:45-11:30,305-502,,,,
1,,,,,,15,,,,FN,FN 110,3,4D: Space & Temporality,Justin,Kirchoff,,BFA SPRING,TU FR,12:00-2:45,013-025,3/12,,,
1,,,,,,15,,,,FN,FN 110,4,4D: Space & Temporality,Tracey,Cockrell,,BFA SPRING,TU FR,8:30-11:15,277-508,2/20,Prof changed,TC email,
1,,,,,,15,,,,FN,FN 110,5,4D: Space & Temporality,Ben,Spalding,,BFA SPRING,TU TH,6:30-9:15,305-502,3/10,,TC email,
1,,,,,,15,,,,FN,FN 110,6,4D: Space & Temporality,Ben,Spalding,,BFA SPRING,TU FR,12:00-2:45,277-502,2/20,,TC email,
1,,,,,,15,,,,FN,FN 110,7,4D: Space & Temporality,Tabitha,Barnard,,BFA SPRING,M W,1:30-4:15,013-502,3/12,,,
x,,,,,,105,,,,0,Current + waitlisted,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,FN / PE / ENT / SPECIAL,,,,,,,,,,,,,
1,,,,,,10,,,,AE,AE 329,,Contemporary Practices for Art Teaching,Rachel,Somerville,,BFA SPRING,WED,3:00-5:45,510,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,STUDIO,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
